,text,author_name,created_at
0,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,NSR,2020-08-25 12:48:59
1,"Samsung Galaxy Buds Live Review https://t.co/vUh3LQx0G9 via @YouTube 
By @GregglesTV",cros rosca temptera aka @littlewarriorl,2020-08-25 12:48:53
2,RT @SamsungIndia: The new #GalaxyNote20 series comes in a stunning array of mystic hues. Tell us which one is your favourite in the comment…,ShawshanK,2020-08-25 12:48:50
3,"RT @Poorvika_Mobile: The wait is over, the Samsung Galaxy Note20 series is now at https://t.co/Wpmqg4vcah !

Starting at ₹64999*

Buy Now :…",Gowtham,2020-08-25 12:48:46
4,@loughlin_eamonn @vpavl0v @adw152 @IrishUnity The link below is the picture of Google Image from Israeli crimes… https://t.co/NXapTQqIEH,🏴אמיר/𝓐𝓶𝓲𝓻🇮🇷🏴,2020-08-25 12:48:39
5,"@SamsungIndia 50X Super Resolution Zoom

#GalaxyNote20 #Samsung #GalaxyPowerfest
@SamsungIndia

Join guys 💓… https://t.co/UujswNvcTT",RajK,2020-08-25 12:48:38
6,"@SamsungIndia 1. Samsung Exynos 990 processor

2. Immersive AMOLED 2X display
 
3. 4300 mAh battery… https://t.co/cvnah6xPKf",NSR,2020-08-25 12:48:35
7,@HulisaniRavele @SamsungMobileSA The Samsung galaxy A31 is also compatible  with the samsungPay. You can even add y… https://t.co/A1IzXdufLk,Deena Padayachee,2020-08-25 12:48:32
8,iFixit’s teardown for the Samsung Galaxy Note 20 Ultra could explain why your phone is running hot https://t.co/lx0DB1bpiU,Cormyre ✊🏻✊🏼✊🏽✊🏾✊🏿🐉,2020-08-25 12:48:32
9,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Hetal Satra,2020-08-25 12:48:31
10,RT @Massivit3d: Stunning large-format implementation for Samsung by @mediaresources! Massivit 3D printing enables internal illumination and…,Media Resources,2020-08-25 12:48:30
11,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Lokesh Kumar,2020-08-25 12:48:26
12,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Gilbert J,2020-08-25 12:48:20
13,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,#MiFan Kamal Ahamad,2020-08-25 12:48:19
14,"RT @Verizon: The Samsung #GalaxyNote20 Ultra 5G on Verizon 5G Ultra Wideband is fierce and fast. Can @LaurieHernandez keep up? 

❤️  this p…",Sheila Gagnon,2020-08-25 12:48:17
15,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Simran,2020-08-25 12:48:13
16,"RT @code_brenden: I’ll give the Samsung Galaxy Note 10 (128 GB) to a random person who retweets this tweet. 

($400 cashout available) 

Sh…",Taziq,2020-08-25 12:48:09
17,Existential threat for Samsung's Note: Galaxy S21 to get new feature https://t.co/bo22hFdiyq @slideme https://t.co/NjXofDaIAL,SlideME Market,2020-08-25 12:48:09
18,@mimi_cheese @aanshipika My dad had Samsung with that antenna 🤣😭,Sh!vam,2020-08-25 12:48:07
19,Verizon's newest Samsung Galaxy A51 and Galaxy A51 5G deals are pretty much unbeatable https://t.co/qtMISctgUC… https://t.co/tdqA63ygpA,SlideME Market,2020-08-25 12:48:05
20,The Samsung Ecosystem - Will the galaxies fit? - A new article i penned about the efforts being made by Samsung to… https://t.co/tGKMNYisrK,Philip Ashon,2020-08-25 12:48:03
21,"A new article i penned about the efforts being made by Samsung to dominate the smartphone market.
The Samsung Ecosy… https://t.co/MCUcydXBMf",Philip Ashon,2020-08-25 12:48:02
22,Won’t be buying any new @Samsung products if they go ahead and build the #VungAng2 coal plant in Vietnam,Wendy Bruce,2020-08-25 12:48:02
23,"@AskNationwide Yeah I've tried that too, sadly no luck, I even changed DNS just in case, I'm on a Samsung Galaxy A9… https://t.co/96fH3788cs",You Schmuck! 🇬🇧,2020-08-25 12:48:01
24,#EmailMarketing  #Email #Apple #Samsung #Blackberry #IOS #Android ☺️ pleeasse https://t.co/smT6dDe3yg,- Rhyme,2020-08-25 12:48:00
25,#Samsung’s “Find my Phone” can locate #Galaxy device even when the device is offline. The offline tracking feature… https://t.co/YQTcXdpOcF,Orynews,2020-08-25 12:48:00
26,Samsung note 20 Ultra vs iPhone 11 pro max. Samsung wins drop test. Yay #samsung https://t.co/YoPPb9RKC6,Bixby 🇰🇪,2020-08-25 12:47:59
27,"@SamsungIndia #GalaxyNote20

1. Snapdragon 865+ processor
2. 6.9 inches, 116.7 cm2 (~91.7% screen-to-body ratio)
3.… https://t.co/8U1d6PvhAi",#MiFan Kamal Ahamad,2020-08-25 12:47:55
28,RT @LeroyJenkins_fc: The Samsung S-Pen on the Galaxy Note 20. #KfmGalaxyChallenge #GalaxyNote20 @SamsungMobileSA @KFMza the pen that is mig…,MrJenkins🇿🇦,2020-08-25 12:47:54
29,im not liking this update 4 samsung notes,jirah ⁷ 🍭,2020-08-25 12:47:53
30,RT @RealXavierDey: @MIUI_India @PavanReddyN777 Kab doge MIUI 12 ! Such a big company with so much delay ! Xiaomi India must work on there U…,Archit,2020-08-25 12:47:53
31,"@YahooCare I know that it’s legit, I want to figure out if it’s for my iPod prestock app or the Samsung one on my tablet.",Karen 💋,2020-08-25 12:47:51
32,"RT @robotodd: Samsung has ads in the phone app — the app you open to place calls — on its $1,380 Galaxy Z Flip. 🙄 https://t.co/tuWr2PxSYh",tarti,2020-08-25 12:47:47
33,"RT @SamsungMobile: Meet #GalaxyBudsLive! Here's a quick #unboxing and first look of the Galaxy Buds Live.

For more information, visit http…",애빼시천사,2020-08-25 12:47:39
34,"RT @HulisaniRavele: Bo beyps, having a wallet on your phone ke bophelo! I'm giving away a @SamsungMobileSA #GalaxyA31 so you can experience…",Deena Padayachee,2020-08-25 12:47:38
35,"RT @Poorvika_Mobile: Dive into the #Galaxy Ecosystem with style.
Avail the #GalaxyBuds Live at an #Offer price of ₹4990* when you #PreOrder…",pavan,2020-08-25 12:47:31
36,"RT @giveaway_galaxy: Win the new Samsung Galaxy Note 20 now! 
How to enter: 
- Like &amp; Retweet
- - Follow @giveaway_galaxy
 
Join Free:https…",Papa Seger 66,2020-08-25 12:47:31
37,"@Gazzorpazorp Samsung kuda totally out from China, only oka small semiconductors plant undi ante",Siddharth_1290,2020-08-25 12:47:26
38,"Ahh, I really wanna be better with digital art. I'm using a Samsung Galaxy Tab S3 and the program Autodesk Sketchbo… https://t.co/ZhDTMDSmqc",【V-tuber】 Zetsu ☆ COMMISSIONS OPEN ☆ 🔞,2020-08-25 12:47:24
39,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,RajK,2020-08-25 12:47:23
40,"RT @giveaway_galaxy: Win the new Samsung Galaxy Note 20 now! 
How to enter: 
- Like &amp; Retweet
- - Follow @giveaway_galaxy

Join Free:https:…",eh,2020-08-25 12:47:20
41,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Tanya Setia,2020-08-25 12:47:18
42,"RT @azreenchan: This would be my first sponsored items 😁 Honestly also my first Samsung 🤭

I would like to challenge myself to draw on a sm…",anak Malaysia🇲🇾,2020-08-25 12:47:18
43,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Tushar Khanna,2020-08-25 12:47:17
