,text,author_name,created_at
0,"RT @ATTexplore: Enter for a chance to win a Samsung Galaxy Z Flip!  
Here’s how:

RT or reply to this post by 8/1/20
Tag a friend 
and incl…",Lucianna Farmer,2020-08-01 23:58:59
1,"Haha, my phone autocorrects assmunch to Samsung because apparently that corporation has self-esteem issues.",House,2020-08-01 23:58:43
2,"RT @edgyusual: I know you wanna facetime, baby i have Samsung",goth.lullaby,2020-08-01 23:58:30
3,"Magnetic Phone Mount for Car, Humixx Upgrated Gravity Hands-Free Super Magnetic Car Air Vent Phone Holder Compatibl… https://t.co/GZqwXvsiq2",Kate Weber,2020-08-01 23:58:20
4,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,ana's soulmate⁷,2020-08-01 23:58:17
5,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,✨𝑘𝑎𝑦𝑙𝑎✨,2020-08-01 23:58:14
6,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",simo,2020-08-01 23:58:06
7,"RT @btstranslation7: saw this while going back home😇

""kim seokjin (@bts_twt jin)
1992.12.04 -

because his face is so good looking
[his pi…",It’s Near!⁷,2020-08-01 23:58:04
8,Samsung Electronics to halt production at its last computer factory in China https://t.co/cIck0zFOn5,robert sealey,2020-08-01 23:58:02
9,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,a⁷,2020-08-01 23:57:46
10,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Sunday Samuel,2020-08-01 23:57:42
11,I'm getting a blue Samsung Galaxy A21 btw :D,tay 🥺👉👈,2020-08-01 23:57:39
12,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Hamza Alsbaihi,2020-08-01 23:57:36
13,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,˗ˏˋ𝓃𝒾𝒸⁷ˎˊ˗,2020-08-01 23:57:25
14,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,KJ⁷ ⟭⟬ ᵇᵗˢ,2020-08-01 23:57:24
15,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,Annabelle Cardenas,2020-08-01 23:57:20
16,"RT SamsungBizUSA: In 4⃣ days, we are unpacking the power. Join us wherever you are for #Unpacked on August 5 at 10… https://t.co/L4FB6c38S6",RJ 🟢,2020-08-01 23:57:15
17,"I must say, The camera on the @samsung #GalaxyS20Ultra is poor. Most pics tonight's I found were blurry. An old App… https://t.co/7bB5DaBCXC",Andrew B.,2020-08-01 23:57:09
18,"RT @ATTexplore: Enter for a chance to win a Samsung Galaxy Z Flip!  
Here’s how:

RT or reply to this post by 8/1/20
Tag a friend 
and incl…",Pat Connors,2020-08-01 23:57:06
19,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,☁️ ᵇᵃⁿᵍᵗᵃⁿ ˡᵒᵛᵉˢ ʸᵒᵘ ⟭⟬ ⁷,2020-08-01 23:57:01
20,I've signed up at https://t.co/n4peZQRZQO to get a Powerful yet Playful change in the Next Galaxy. Now it's your turn! #SamsungEvent,Naufal N. Askha,2020-08-01 23:57:00
21,@lasterd80 @1d3nn1ss @JayPaRod @TheGalox_ @not_koh @not_roh @sondesix Please @1d3nn1ss buy Samsung phone and you will experience true power!,Xlord,2020-08-01 23:56:44
22,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,chyrylle,2020-08-01 23:56:40
23,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,maryam⁷,2020-08-01 23:56:40
24,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Ev_BTS⁷🌞,2020-08-01 23:56:17
25,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,비앙카,2020-08-01 23:56:14
26,"@gwestr Instead of buying quality sausages I now buy processed ones with mystery meat inside. 

Instead of buying a… https://t.co/F7d5qDsQhv",(satire)KARL@🇪🇺GERMANY🇩🇪🟡🔴⚫ Economist P.H.D,2020-08-01 23:56:12
27,"RT @BoycottHegemony: Labor costs, trade war, pandemic have companies rethinking production https://t.co/UU6ZYhGx6c",ALVIN AU,2020-08-01 23:56:09
28,RT @FrontalAssault1: Just In: Samsung to halt PC production in China in latest blow to manufacturing sector in China.,Sugata Chattopadhyay,2020-08-01 23:56:05
29,RT @danharris: Japan and Korea and the EU and pretty much everyone are doing what they can to get the hell out of China before things get e…,Tompkinsjudyl,2020-08-01 23:56:05
30,Samsung Galaxy Note20 case renders surface https://t.co/Nqn3dYXj8X https://t.co/a7Nu9XyMOw,ONES_Gadget,2020-08-01 23:56:03
31,@fatbaldguyracin @Samsung @SamsungUS I had Best Buy come out and square up my settings. That was after I returned a… https://t.co/qwqTcvQcg4,David Morano,2020-08-01 23:56:01
32,@feisty_la Get a samsung,#ArrestBreonnaTaylorsKillers,2020-08-01 23:55:54
33,@kaesangp I've signed up at https://t.co/lcwQgrncjE to get a Powerful yet Playful change in the Next Galaxy. Now it… https://t.co/a3n5kQ2wYR,Bung_gondrong,2020-08-01 23:55:53
34,"Win #SamsungM31S in @gadgetstouse giveaway, first watch this video at https://t.co/lNwAuEgod1 - Like, Share and Com… https://t.co/5itikFy5MZ",Kings143,2020-08-01 23:55:49
35,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,S.| A Chaotic Yoongi Stan⁷,2020-08-01 23:55:45
36,OtterBox Defender Series SCREENLESS Edition Case for Samsung Galaxy Note10 - Gone Fishin (Wet Weather/Majolica Blue… https://t.co/1NrNWIU5VB,Robin Hjerpe,2020-08-01 23:55:44
37,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Nam⁷,2020-08-01 23:55:44
38,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,calyhs,2020-08-01 23:55:43
39,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Aldy⁷✨,2020-08-01 23:55:43
40,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Diamiss,2020-08-01 23:55:23
41,believe me or not but im not going trust samsung lmk to update the apps anymore,ً,2020-08-01 23:55:21
42,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,yogibear.⁷,2020-08-01 23:55:13
43,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,ellie⁷ 💗,2020-08-01 23:55:00
44,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,🐱CheESeCake⁷⟭⟬,2020-08-01 23:54:57
45,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Lii⁷ ⟭⟬AGUST D²,2020-08-01 23:54:44
46,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,`ʝєσияαιивσω ʚ♡⃛ɞ,2020-08-01 23:54:33
47,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,김남준,2020-08-01 23:54:26
48,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,whimmie,2020-08-01 23:54:20
49,"@SAZAMdaniel Es la samsung Qled Q60T de 55""",Alquimista ♎️,2020-08-01 23:54:15
50,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Enriquen®,2020-08-01 23:54:02
51,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Khaled,2020-08-01 23:54:02
52,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,abby ⁷,2020-08-01 23:53:23
53,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",🇹🇷🇸🇦🇮🇩🇶🇦🇵🇸,2020-08-01 23:53:22
54,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,⁷,2020-08-01 23:53:22
55,OtterBox Commuter LITE Series Case for Samsung Galaxy A20 - Retail Packaging - Black https://t.co/aJm4JOwAWM https://t.co/diqNvk6uZo,Eva Herrera,2020-08-01 23:53:19
56,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,black swana all⁷,2020-08-01 23:53:10
57,RT @dentcoin: #Samsung #Blockchain Wallet payments for eSIM is now enabled - a #DENT #Roadmap item for Q3 2020 released! 📱Get DENT apps for…,Tina Penn,2020-08-01 23:53:07
58,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Daniela⁷ 🇲🇽,2020-08-01 23:53:04
59,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Queen🇩🇪,2020-08-01 23:53:03
60,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,pattye⁷,2020-08-01 23:53:01
61,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,D2⁷,2020-08-01 23:52:47
62,RT @cnni: There are only three companies that can manufacture super-advanced chips in the world: Taiwan Semiconductor Manufacturing Company…,Mok Chwan Yee,2020-08-01 23:52:40
63,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,c a a⁷,2020-08-01 23:52:38
64,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,aina⁷ moving accs!!📌✖️🍑🎧,2020-08-01 23:52:31
65,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,shantii,2020-08-01 23:52:25
66,#Samsung Galaxy #A51 VS Realme 6 | ultratech phone https://t.co/0Aun1Sesaw via @YouTube,UltraTech Phone,2020-08-01 23:52:17
67,@CrazySel_YT @Dannydarrd @iamufr @MKBHD I mean samsung makes more money on iPhones than their phones because of screens,CEO of Bruhnomics,2020-08-01 23:52:04
68,Samsung Electronics to halt production at its last computer factory in China https://t.co/ff9BxxO5bu,Bharat Bikash TV,2020-08-01 23:51:51
69,Samsung Galaxy Note20 case renders surface - https://t.co/RTRyCoqbub https://t.co/gMouR6jceC,Browsify #WFH,2020-08-01 23:51:49
70,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Arun Balachandran,2020-08-01 23:51:44
71,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Ravi,2020-08-01 23:51:36
72,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,jodie⁷⧖ 💿,2020-08-01 23:51:33
73,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,📼💿 🇯🇲⁷ 💿 📼,2020-08-01 23:51:33
74,Samsung Electronics to halt production at its last computer factory in China via /r/technology https://t.co/lSyRvfUymc,Juan Lora Ruiz,2020-08-01 23:51:29
75,"Samsung launches UV Sterilizer with wireless charging in India at Rs 3,599 https://t.co/VFMVIxArPh",Amit Savaliya,2020-08-01 23:51:28
76,@kaesangp I've signed up at https://t.co/5Dw9fDP0qg to get a Powerful yet Playful change in the Next Galaxy. Now it… https://t.co/keoKgfFrmp,⇄ʂყιϝα²⁴ʰ,2020-08-01 23:51:26
77,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,𝓓𝐞𝐚⁷,2020-08-01 23:51:26
78,RT @Trinhnomics: Vietnam is where Samsung Electronics  made the long-term bet &amp; started before trade-war &amp; Covid as China got expensive &amp; r…,VietNamstockeXchange,2020-08-01 23:51:23
79,it is simply that fuckass samsung two screen thing bts are unfortunately promoting,ri⁷,2020-08-01 23:51:22
80,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Deniz İstikbal,2020-08-01 23:51:17
81,RT @CatsTalkBack1: Another blow to our greatest enemy...CHINA!!!  Samsung closing its last factory in China!!!  Another win for the United…,Mary Sims,2020-08-01 23:51:14
82,RT @CatsTalkBack1: Another blow to our greatest enemy...CHINA!!!  Samsung closing its last factory in China!!!  Another win for the United…,david m,2020-08-01 23:51:03
83,VIVO VESA Adapter Plate Bracket Designed for Samsung CF591 Series Monitors | Curved 27 inch LC27F591FDNXZA (MOUNT-S… https://t.co/y8C0ry7igv,Jessica Boston,2020-08-01 23:51:03
84,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,nelly⁷,2020-08-01 23:50:57
85,"@MintyScripter @SamsungMobile Once, not three times. And why are you picking a fight with me, exactly? What are you… https://t.co/QCMGeI5jLg",Trevor Allen,2020-08-01 23:50:53
86,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Augusto,2020-08-01 23:50:51
87,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Judith✨,2020-08-01 23:50:47
88,"@spectatorindex Competition is too fierce in China, no room for Samsung",Rob.W,2020-08-01 23:50:37
89,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,chai♡⁷,2020-08-01 23:50:36
90,"RT @UKBTSARMATION: The two lucky winners for this Samsung Galaxy BTS Edition is ~ 

💜 @HaleBopa  &amp; @jas7bts 💜 🥳🥳

Send us a dm 💜💜💜

Again t…",Andleeb,2020-08-01 23:50:35
91,"@powderhokie I tried that on my Samsung TV and that didn't work. Works fine on my phone, though",Deep Chatham Hokie,2020-08-01 23:50:33
92,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",@Kelvinsmart,2020-08-01 23:50:29
93,Samsung Galaxy Note20 case renders surface https://t.co/H8HSG7L87K,شبكة البني,2020-08-01 23:50:27
94,"RT @Reuters: Apple's Taiwan suppliers, Samsung apply for India's smartphone scheme https://t.co/AdSuY4FiA8 https://t.co/11x7oKSsUg",Bhavin Shah,2020-08-01 23:50:26
95,"Apparemment team Samsung ^^ !
#marlowe #warmkittysoftkittylittleballoffur #sleepykitty #sleepy #cat #samsung #apple https://t.co/y9xBQISWGU",Audrey Simon - No #FakeMed,2020-08-01 23:50:24
96,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Alaa.com,2020-08-01 23:50:09
97,@jellis21081 @fitbit I'm dead serious I would switch to Samsung or Apple. There's too much competition out here for… https://t.co/nMCvMRQuIX,Jamie,2020-08-01 23:50:05
98,@FTPiHole @SlightlyAnn0yed @smorant144 @yungdubs @d1rtydan I don't understand any of that. I have a Samsung Galaxy… https://t.co/TCWftapcRQ,Fan of JJ @nas29carfan,2020-08-01 23:50:05
99,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Moyinoluwa Oyelohunnu,2020-08-01 23:49:59
0,"RT @blakehills27659: ⭐️⭐️⭐️⭐️⭐️I love this!
Get a powerful anti-peep magnetic phone case before suitable for your latest Samsung and iPhone…",C,2020-08-01 23:49:54
1,"RT @jiminscloset1: 200801 | SamsungMobileUS Twitter update with Jimin

- Samsung Galaxy Z Flip, Acne Studios and Fear of God 

#JIMIN #지민 #…",(•᷄ɞ•᷅)₁₃,2020-08-01 23:49:51
2,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",ITweetFact,2020-08-01 23:49:49
3,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Onye Nkuzi,2020-08-01 23:49:46
4,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,💜FictionLover⁷💜,2020-08-01 23:49:32
5,@kaesangp I've signed up at https://t.co/UOC3MRwqWq to get a Powerful yet Playful change in the Next Galaxy. Now it… https://t.co/C0nyHfYXxq,·₊̣̇.Lara🦋 | hhhiat,2020-08-01 23:49:26
6,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Silver General,2020-08-01 23:49:24
7,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,multifandom,2020-08-01 23:49:21
8,RT @Taedagudboy: @kimvanadium I remember yoongi’s vlive when he was annoyed at Apple Music because of his AGUSTD picture got leaked and tol…,‧͙⁺˚*･༓☾ khai⁷,2020-08-01 23:49:20
9,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,UGH⁷,2020-08-01 23:49:16
10,RT @dentcoin: #Samsung #Blockchain Wallet payments for eSIM is now enabled - a #DENT #Roadmap item for Q3 2020 released! 📱Get DENT apps for…,☀Natasha Romanoff ☀,2020-08-01 23:49:13
11,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,TavushStrong⁷･◡･,2020-08-01 23:49:01
12,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,𝙼𝚒𝚗𝙼𝚒𝚗; 𝗪𝗶𝘁𝗵 𝗕𝗧𝗦💜🇲🇽,2020-08-01 23:49:00
