,Tweets
0,": Microsoft Teams is helping St. Luke’s University Health Network see 5,000 patients a day in a new way."
1, Collab with Microsoft and get this game on Xbox!!!!!
2,": Shared via Microsoft Edge: Starmer calls for inquiry into botched NHS face masks contract

Judicial Reviews also likely to happe…"
3,[LEER] Zero Trust: From security option to business imperative overnight 
4,LOLOLOLOL “Scientists rename human genes to stop Microsoft Excel from misreading them as dates” 
5,[LEER] How to organize your security team: The evolution of cybersecurity roles and responsibilities 
6,Prioritize datacenter discovery and readiness assessments to accelerate cloud migration  Azure
7,: I'm looking forward to 2027 when Microsoft Teams reports record user growth after TikTok for Business users get moved t…
8,": This really is one of the most on-brand Excel things I've ever seen 

"
9,  Sony and Microsoft aren't going to hold hands and share their exclusives. Just isn't going to happen. It doesn't make good business sense.
10,: Microsoft reportedly wants to buy up TikTok’s India operations too (story by ) 
11,: MICROSOFT HAD NOT RAISED THE PROSPECT OF BUYING ALL OF TIKTOK IN ITS NEGOTIATIONS WITH BYTEDANCE - SOURCE FAMILIAR WITH THE D…
12,"Speed up the journey of your nonprofit organization to the cloud and securely deploy compliant desktops and applications in minutes. Check out ""Accelerate Your Windows Virtual Desktop Deployment,"" brought to you by .  "
13,TikTok deal tests Microsoft’s decades of China experience 
14,_     This has nothing to do with Microsoft. You can’t make excuses. Hopefully you get what’s coming to you
15,: India banning TikTok and US forcing the sale of TikTok to Microsoft is inherently no different than China banning Fac…
16,What would you ask the CIO of  if you had the chance? Former CXOs share their experiences leading some of most successful companies of our time. getinspired CIO CISO firesidechat  
17,I do like my Wintellect subscription. not Microsoft Learn.
18,_pack: final fantasy is just microsoft excel for perverts and with a worse story
19,: I absolutely love this story - Scientists have renamed 27 human genes and rewritten the guidelines for naming future genes b…
20,: I absolutely love this story - Scientists have renamed 27 human genes and rewritten the guidelines for naming future genes b…
21,"     Well I mean Microsoft pays well, especially developers. If people invested in Microsoft early, they too are also stupid rich. Who did work to contribute to the success of that corporation that wasn’t compensated?"
22,: MICROSOFT HAD NOT RAISED THE PROSPECT OF BUYING ALL OF TIKTOK IN ITS NEGOTIATIONS WITH BYTEDANCE - SOURCE FAMILIAR WITH THE D…
23,"Kinect Star Wars is a video game for the Xbox 360's Kinect peripheral. It was announced at the Electronic Entertainment Expo on June 14, 2010. The game was developed by LucasArts, Terminal Reality, and Microsoft Game Studios."
24,: $MSFT $FSLY Microsoft expands TikTok takeover ambitions to entire global business: FT 
25,: A huge thank you to  for last week's meeting to discuss a recent look at remotework pain points and how Microsoft…
26,Digitizing contract management with microservices on Azure 
27,Simplify and Modernize your Java and Spring workloads with Azure Service Bus from Azure service updates  Azure
28,Configure backup for Azure file shares directly from the file share blade 
29,"    I would agree, but Microsoft wouldn’t stoop down to Sony’s level"
30,": Shared via Microsoft Edge: Starmer calls for inquiry into botched NHS face masks contract

Judicial Reviews also likely to happe…"
31,"Additional offers from  

✓ 1TB Hard Disk at ₹1,999
✓ Warranty Extension Upto 2 Years at ₹99
✓ Warranty Extension Upto 3 Years at ₹999
✓ Microsoft Office H&amp;S at ₹999

Note: You can pick any two.

 AmazonPrimeDay PrimeDay PrimeDaySale "
32,  Pretty sure that applies to xbox studio publishers. Microsoft still want attention to their platform and how could missing out on a popular title like GTA affect them?
33,": Microsoft is chasing a deal to buy all of TikTok's global business, including the viral video app's operations in India an…"
34,": According to FT this morning, Microsoft is now exploring buying not only TikTok US, but also TikTok globally including India a…"
35,": The new Microsoft Family Safety app comes from a place of love, care, and curiosity. How can we build a digital world…"
